Post Date,Value Date,Branch,Journal No.,Description,Debit,Credit,
06/06/18 08.59.59,06/06/18 08.59.59,0767,753577,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301526 KALIMALANG 2",".00","162,000.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753587,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301514 PS REBO",".00","526,500.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753689,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301529 CAKUNG 2",".00","129,000.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753695,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301517 BMB APUS 2",".00","57,000.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753702,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301527 KALIMALANG 1",".00","9,500.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753712,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301515 DUKUH 1",".00","175,500.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753860,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301518 BMB APUS 1",".00","114,000.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753885,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301528 BINTARA",".00","95,000.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753893,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301516 DUKUH 3",".00","160,000.00",
06/06/18 09.00.00,06/06/18 09.00.00,0767,753978,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301529 CAKUNG 2",".00","237,000.00",
06/06/18 09.00.00,06/06/18 09.00.00,0767,753985,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301517 BMB APUS 2",".00","85,500.00",
06/06/18 09.00.00,06/06/18 09.00.00,0767,754130,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301518 BMB APUS 1",".00","255,000.00",
06/06/18 09.00.00,06/06/18 09.00.00,0767,754191,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301519 SETU",".00","57,000.00",
06/06/18 09.00.01,06/06/18 09.00.01,0767,754321,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301530 CAKUNG 1",".00","169,500.00",
06/06/18 09.00.01,06/06/18 09.00.01,0767,754386,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301531 ROROTAN",".00","283,000.00",
06/06/18 09.00.01,06/06/18 09.00.01,0767,754506,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301520 JATIWARNA 2",".00","228,000.00",
06/06/18 09.00.01,06/06/18 09.00.01,0767,754521,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301530 CAKUNG 1",".00","108,000.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754620,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301521 JATIWARNA 1",".00","57,000.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754632,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301531 ROROTAN",".00","179,000.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754714,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301534 LT AGUNG 3",".00","47,500.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754717,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301522 JATIASIH 2",".00","247,000.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754719,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301510 LT AGUNG 1",".00","446,500.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754735,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301520 JATIWARNA 2",".00","684,000.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754881,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301523 JATIASIH 1",".00","38,000.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754889,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301511 GEDONG 2",".00","142,500.00",
06/06/18 09.00.02,06/06/18 09.00.02,0767,754947,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301521 JATIWARNA 1",".00","85,500.00",
07/06/18 08.59.58,07/06/18 08.59.58,0767,564191,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 2 000301522 JATIASIH 2",".00","676,500.00",
07/06/18 08.59.58,07/06/18 08.59.58,0767,564220,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301534 LT AGUNG 3",".00","28,500.00",
07/06/18 08.59.58,07/06/18 08.59.58,0767,564233,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301510 LT AGUNG 1",".00","522,500.00",
07/06/18 08.59.58,07/06/18 08.59.58,0767,564238,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 07062018 3 000301520 JATIWARNA 2",".00","817,000.00",
07/06/18 08.59.59,07/06/18 08.59.59,0767,564357,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 2 000301511 GEDONG 2",".00","636,500.00",
07/06/18 09.00.00,07/06/18 09.00.00,0767,564510,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 2 000301524 CIKUNIR 2",".00","2,733,000.00",
07/06/18 09.00.00,07/06/18 09.00.00,0767,564557,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301512 GEDONG 1",".00","78,000.00",
07/06/18 09.00.00,07/06/18 09.00.00,0767,564565,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 07062018 3 000301522 JATIASIH 2",".00","733,500.00",
07/06/18 09.00.00,07/06/18 09.00.00,0767,564650,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 04062018 3 000301529 CAKUNG 2",".00","23,000.00",
07/06/18 09.00.00,07/06/18 09.00.00,0767,564681,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 2 000301513 KP RAMBUTAN",".00","690,000.00",
07/06/18 09.00.01,07/06/18 09.00.01,0767,564734,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301525 CIKUNIR 4",".00","420,000.00",
07/06/18 09.00.01,07/06/18 09.00.01,0767,564776,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 07062018 3 000301511 GEDONG 2",".00","142,500.00",
07/06/18 09.00.01,07/06/18 09.00.01,0767,564869,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301514 PS REBO",".00","457,000.00",
