Post Date;Value Date;Branch;Journal No.;Description;Debit;Credit
02/06/18 06.00.01;02/06/18 06.00.01;767;784062;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301519 SETU;0;190,000.00
02/06/18 06.00.01;02/06/18 06.00.01;767;784077;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301523 JATIASIH 1;0;636,500.00
02/06/18 06.00.01;02/06/18 06.00.01;767;784088;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018   000301511 GEDONG 2;0;308,000.00
02/06/18 08.59.58;02/06/18 08.59.58;767;610600;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301518 BMB APUS 1;0;123,500.00
02/06/18 09.00.00;02/06/18 09.00.00;767;611069;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301521 JATIWARNA 1;0;49,500.00
02/06/18 09.00.01;02/06/18 09.00.01;767;611141;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301534 LT AGUNG 3;0;76,000.00
02/06/18 09.00.01;02/06/18 09.00.01;767;611152;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301510 LT AGUNG 1;0;446,500.00
02/06/18 09.00.01;02/06/18 09.00.01;767;611165;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301520 JATIWARNA 2;0;142,500.00
02/06/18 09.00.01;02/06/18 09.00.01;767;611238;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301523 JATIASIH 1;0;85,500.00
02/06/18 09.00.02;02/06/18 09.00.02;767;611345;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301512 GEDONG 1;0;190,000.00
02/06/18 09.00.02;02/06/18 09.00.02;767;611354;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301522 JATIASIH 2;0;135,000.00
02/06/18 09.00.02;02/06/18 09.00.02;767;611427;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301525 CIKUNIR 4;0;386,500.00
02/06/18 09.00.02;02/06/18 09.00.02;767;611448;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301511 GEDONG 2;0;154,000.00
02/06/18 09.00.02;02/06/18 09.00.02;767;611509;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301514 PS REBO;0;826,500.00
02/06/18 09.00.02;02/06/18 09.00.02;767;611513;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301524 CIKUNIR 2;0;477,500.00
02/06/18 09.00.03;02/06/18 09.00.03;767;611588;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301513 KP RAMBUTAN;0;76,000.00
02/06/18 09.00.03;02/06/18 09.00.03;767;611662;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301516 DUKUH 3;0;560,000.00
02/06/18 09.00.03;02/06/18 09.00.03;767;611735;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301515 DUKUH 1;0;176,000.00
02/06/18 09.00.03;02/06/18 09.00.03;767;611788;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301518 BMB APUS 1;0;161,500.00
02/06/18 09.00.04;02/06/18 09.00.04;767;611859;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301517 BMB APUS 2;0;19,000.00
02/06/18 09.00.04;02/06/18 09.00.04;767;612029;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301519 SETU;0;19,000.00
02/06/18 09.00.05;02/06/18 09.00.05;767;612292;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301520 JATIWARNA 2;0;237,500.00
